Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Medical,Recruiting,Game Expenses and Travel,Coaches Compensation,Athletic Student Aid,Total Revenues,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,Competition Guarantees,Ticket Sales
Appalachian State University,197869,2005,Football Championship Subdivision,,8011932,186852,264786,739636,1863587,2243746,7634231,349607,845626,347600,458280
Appalachian State University,197869,2006,Football Championship Subdivision,,9042340,204373,237661,802464,2132586,2402572,9110063,537487,1023455,965424,650723
Appalachian State University,197869,2007,Football Championship Subdivision,,10513168,242362,236282,994757,2290210,2447225,10485631,639854,969301,378750,995564
Appalachian State University,197869,2008,Football Championship Subdivision,,13687188,430711,390177,1248106,2965514,2777856,13208247,863268,1136014,563000,1257217
Appalachian State University,197869,2009,Football Championship Subdivision,,15785349,387242,295868,1515629,3305658,2992105,15236543,711857,757961,909620,2465277
Appalachian State University,197869,2010,Football Championship Subdivision,,16185310,293474,306944,1202154,3229016,3705780,15865704,720512,1663016,536668,2728336
Appalachian State University,197869,2011,Football Championship Subdivision,,15454170,295888,329633,1706934,3325949,3675867,17748605,463810,2885516,801863,2340610
Appalachian State University,197869,2012,Football Championship Subdivision,,17238578,331050,366522,1954956,3348753,3963863,18644606,743015,2216186,747451,2374848
Appalachian State University,197869,2013,Football Championship Subdivision,,21395675,360772,505640,1965573,4170127,4223727,19775727,967869,3633146,704337,2334633
Appalachian State University,197869,2014,Football Championship Subdivision,,19320283,408579,504251,2010246,4010565,4724072,19414754,1006425,3520678,807269,1951631
Appalachian State University,197869,2015,Football Bowl Subdivision,Sun Belt Conference,30648792,124620,373761,3545473,4407085,5103730,29695016,1023563,3792320,1457685,1604339
Appalachian State University,197869,2016,Football Bowl Subdivision,Sun Belt Conference,31523281,129963,496723,3945972,4768157,5426717,31712155,1021924,3861260,1188700,1573482
Appalachian State University,197869,2017,Football Bowl Subdivision,Sun Belt Conference,35065566,466264,589564,4409568,5921036,6267280,35058621,1133383,2918412,1893750,2488012
Appalachian State University,197869,2018,Football Bowl Subdivision,Sun Belt Conference,36853981,334825,503266,3901844,6218159,6534872,36940867,1279413,4602783,1646250,3148113
Arizona State University,104151,2005,Football Bowl Subdivision,Pacific-12 Conference,39749018,1033663,735565,4242638,7146830,7110620,41334126,3403024,8580779,1465371,7179440
Arizona State University,104151,2006,Football Bowl Subdivision,Pacific-12 Conference,48897603,1056706,964819,4607190,7884260,7859854,50268561,3860104,11791138,1164271,10254504
Arizona State University,104151,2007,Football Bowl Subdivision,Pacific-12 Conference,54832410,1050902,751269,6253465,9079318,9057244,54735433,4084468,11823287,1812721,8811409
Arizona State University,104151,2008,Football Bowl Subdivision,Pacific-12 Conference,54296003,1284295,758146,6591268,10213939,9310610,54833194,4072559,12146808,890818,13341701
Arizona State University,104151,2009,Football Bowl Subdivision,Pacific-12 Conference,53032149,1276932,676453,5906947,10132711,9296638,51892026,4626539,10989254,1682572,13418157
Arizona State University,104151,2010,Football Bowl Subdivision,Pacific-12 Conference,57905546,1161431,796769,5618625,10641906,9886143,56505165,10447662,10095247,1274580,12039166
Arizona State University,104151,2011,Football Bowl Subdivision,Pacific-12 Conference,57080884,1056232,723111,6001109,10699714,10362086,55294113,10816783,11982854,1726998,8103692
Arizona State University,104151,2012,Football Bowl Subdivision,Pacific-12 Conference,65587903,1121391,897577,7245906,11717658,11168165,59855508,11167339,11265732,982651,9059072
Arizona State University,104151,2013,Football Bowl Subdivision,Pacific-12 Conference,65600187,1470458,1172091,7763248,13608615,12136090,65673955,9028905,12737532,300000,9589992
